timestamp,sensor_id,sensor_type,location,value,unit,status
2024-01-01T00:00:00,sensor_009,temperature,warehouse_north,55.12,�C,OK
2024-01-01T00:00:10,sensor_001,co2,factory_floor_a,1126.14,ppm,OK
2024-01-01T00:00:20,sensor_018,co2,factory_floor_b,1203.89,ppm,OK
2024-01-01T00:00:30,sensor_016,co2,warehouse_south,380.12,ppm,OK
2024-01-01T00:00:40,sensor_020,co2,server_room_1,1015.99,ppm,OK
2024-01-01T00:00:50,sensor_009,temperature,warehouse_north,69.84,�C,OK
2024-01-01T00:01:00,sensor_001,co2,factory_floor_a,868.11,ppm,OK
2024-01-01T00:01:10,sensor_011,humidity,factory_floor_a,70.22,%,OK
2024-01-01T00:01:20,sensor_017,humidity,factory_floor_b,67.92,%,OK
2024-01-01T00:01:30,sensor_009,temperature,warehouse_north,70.66,�C,OK
2024-01-01T00:01:40,sensor_020,co2,server_room_1,836.03,ppm,OK
2024-01-01T00:01:50,sensor_013,temperature,warehouse_south,21.35,�C,OK
2024-01-01T00:02:00,sensor_020,co2,server_room_1,1972.61,ppm,ERROR
2024-01-01T00:02:10,sensor_009,temperature,warehouse_north,64.15,�C,OK
2024-01-01T00:02:20,sensor_010,temperature,control_room,26.34,�C,OK
2024-01-01T00:02:30,sensor_010,temperature,control_room,67.46,�C,OK
2024-01-01T00:02:40,sensor_015,co2,factory_floor_b,303.98,ppm,WARNING
2024-01-01T00:02:50,sensor_008,pressure,server_room_1,1012.17,hPa,WARNING
2024-01-01T00:03:00,sensor_019,temperature,warehouse_south,16.17,�C,OK
2024-01-01T00:03:10,sensor_008,pressure,server_room_1,965.49,hPa,WARNING
2024-01-01T00:03:20,sensor_011,humidity,factory_floor_a,86.79,%,WARNING
2024-01-01T00:03:30,sensor_004,pressure,factory_floor_b,952.17,hPa,ERROR
2024-01-01T00:03:40,sensor_017,humidity,factory_floor_b,76.76,%,OK
2024-01-01T00:03:50,sensor_016,co2,warehouse_south,902.68,ppm,OK
2024-01-01T00:04:00,sensor_016,co2,warehouse_south,422.81,ppm,OK
2024-01-01T00:04:10,sensor_018,co2,factory_floor_b,1028.28,ppm,OK
2024-01-01T00:04:20,sensor_017,humidity,factory_floor_b,48.83,%,OK
2024-01-01T00:04:30,sensor_016,co2,warehouse_south,802.7,ppm,OK
2024-01-01T00:04:40,sensor_003,pressure,factory_floor_b,1004.24,hPa,WARNING
2024-01-01T00:04:50,sensor_004,pressure,factory_floor_b,990.95,hPa,WARNING
2024-01-01T00:05:00,sensor_012,vibration,factory_floor_b,22.91,mm/s,ERROR
2024-01-01T00:05:10,sensor_011,humidity,factory_floor_a,60.64,%,OK
2024-01-01T00:05:20,sensor_002,co2,control_room,662.1,ppm,OK
2024-01-01T00:05:30,sensor_007,humidity,warehouse_north,58.56,%,OK
2024-01-01T00:05:40,sensor_017,humidity,factory_floor_b,44.77,%,OK
2024-01-01T00:05:50,sensor_008,pressure,server_room_1,1019.97,hPa,WARNING
2024-01-01T00:06:00,sensor_001,co2,factory_floor_a,1779.15,ppm,ERROR
2024-01-01T00:06:10,sensor_017,humidity,factory_floor_b,54.36,%,OK
2024-01-01T00:06:20,sensor_015,co2,factory_floor_b,1650.59,ppm,ERROR
2024-01-01T00:06:30,sensor_013,temperature,warehouse_south,18.37,�C,OK
2024-01-01T00:06:40,sensor_018,co2,factory_floor_b,542.11,ppm,OK
2024-01-01T00:06:50,sensor_005,vibration,warehouse_north,14.18,mm/s,OK
2024-01-01T00:07:00,sensor_017,humidity,factory_floor_b,84.4,%,WARNING
2024-01-01T00:07:10,sensor_013,temperature,warehouse_south,28.84,�C,OK
2024-01-01T00:07:20,sensor_001,co2,factory_floor_a,969.27,ppm,OK
2024-01-01T00:07:30,sensor_019,temperature,warehouse_south,68.72,�C,OK
2024-01-01T00:07:40,sensor_002,co2,control_room,321.51,ppm,WARNING
2024-01-01T00:07:50,sensor_017,humidity,factory_floor_b,56.81,%,OK
2024-01-01T00:08:00,sensor_016,co2,warehouse_south,471.49,ppm,OK
2024-01-01T00:08:10,sensor_014,pressure,factory_floor_b,958.9,hPa,ERROR
2024-01-01T00:08:20,sensor_007,humidity,warehouse_north,31.85,%,OK
2024-01-01T00:08:30,sensor_020,co2,server_room_1,1864.77,ppm,ERROR
2024-01-01T00:08:40,sensor_015,co2,factory_floor_b,1782.85,ppm,ERROR
2024-01-01T00:08:50,sensor_010,temperature,control_room,78.26,�C,WARNING
2024-01-01T00:09:00,sensor_014,pressure,factory_floor_b,1046.11,hPa,ERROR
2024-01-01T00:09:10,sensor_019,temperature,warehouse_south,21.0,�C,OK
2024-01-01T00:09:20,sensor_010,temperature,control_room,69.51,�C,OK
2024-01-01T00:09:30,sensor_012,vibration,factory_floor_b,14.87,mm/s,OK
2024-01-01T00:09:40,sensor_012,vibration,factory_floor_b,21.1,mm/s,ERROR
2024-01-01T00:09:50,sensor_009,temperature,warehouse_north,47.3,�C,OK
2024-01-01T00:10:00,sensor_020,co2,server_room_1,1096.29,ppm,OK
2024-01-01T00:10:10,sensor_010,temperature,control_room,94.7,�C,ERROR
2024-01-01T00:10:20,sensor_017,humidity,factory_floor_b,92.53,%,ERROR
2024-01-01T00:10:30,sensor_008,pressure,server_room_1,1007.5,hPa,WARNING
2024-01-01T00:10:40,sensor_005,vibration,warehouse_north,6.38,mm/s,OK
2024-01-01T00:10:50,sensor_017,humidity,factory_floor_b,26.54,%,WARNING
2024-01-01T00:11:00,sensor_005,vibration,warehouse_north,21.4,mm/s,ERROR
2024-01-01T00:11:10,sensor_001,co2,factory_floor_a,340.91,ppm,OK
2024-01-01T00:11:20,sensor_020,co2,server_room_1,769.55,ppm,OK
2024-01-01T00:11:30,sensor_004,pressure,factory_floor_b,1032.32,hPa,WARNING
2024-01-01T00:11:40,sensor_010,temperature,control_room,31.87,�C,OK
2024-01-01T00:11:50,sensor_012,vibration,factory_floor_b,5.01,mm/s,OK
2024-01-01T00:12:00,sensor_010,temperature,control_room,73.42,�C,WARNING
2024-01-01T00:12:10,sensor_002,co2,control_room,1332.62,ppm,OK
2024-01-01T00:12:20,sensor_010,temperature,control_room,91.41,�C,ERROR
2024-01-01T00:12:30,sensor_020,co2,server_room_1,1185.0,ppm,OK
2024-01-01T00:12:40,sensor_019,temperature,warehouse_south,29.21,�C,OK
2024-01-01T00:12:50,sensor_011,humidity,factory_floor_a,88.67,%,WARNING
2024-01-01T00:13:00,sensor_013,temperature,warehouse_south,93.13,�C,ERROR
2024-01-01T00:13:10,sensor_012,vibration,factory_floor_b,5.45,mm/s,OK
2024-01-01T00:13:20,sensor_019,temperature,warehouse_south,23.14,�C,OK
2024-01-01T00:13:30,sensor_010,temperature,control_room,79.06,�C,WARNING
2024-01-01T00:13:40,sensor_007,humidity,warehouse_north,35.23,%,OK
2024-01-01T00:13:50,sensor_012,vibration,factory_floor_b,10.18,mm/s,OK
2024-01-01T00:14:00,sensor_001,co2,factory_floor_a,714.74,ppm,OK
2024-01-01T00:14:10,sensor_020,co2,server_room_1,1254.76,ppm,OK
2024-01-01T00:14:20,sensor_006,vibration,factory_floor_b,17.43,mm/s,WARNING
2024-01-01T00:14:30,sensor_012,vibration,factory_floor_b,16.47,mm/s,WARNING
2024-01-01T00:14:40,sensor_004,pressure,factory_floor_b,1034.79,hPa,WARNING
2024-01-01T00:14:50,sensor_007,humidity,warehouse_north,35.63,%,OK
2024-01-01T00:15:00,sensor_002,co2,control_room,1613.27,ppm,ERROR
2024-01-01T00:15:10,sensor_012,vibration,factory_floor_b,7.44,mm/s,OK
2024-01-01T00:15:20,sensor_017,humidity,factory_floor_b,92.03,%,ERROR
2024-01-01T00:15:30,sensor_007,humidity,warehouse_north,92.6,%,ERROR
2024-01-01T00:15:40,sensor_017,humidity,factory_floor_b,94.71,%,ERROR
2024-01-01T00:15:50,sensor_018,co2,factory_floor_b,1257.5,ppm,OK
2024-01-01T00:16:00,sensor_016,co2,warehouse_south,612.99,ppm,OK
2024-01-01T00:16:10,sensor_002,co2,control_room,963.18,ppm,OK
2024-01-01T00:16:20,sensor_012,vibration,factory_floor_b,13.99,mm/s,OK
2024-01-01T00:16:30,sensor_012,vibration,factory_floor_b,7.19,mm/s,OK
